repository,repository_url,category,stars,last_meaningful_activity,contribution_method,contribution_guidelines_url,existing_category,comparable_entries,priority_score,status,issue_url,pr_url,submitted_at,last_response_at,merged_at,utm_content,referral_visits,attributed_stars,attributed_installs,owner,notes
BehiSecc/awesome-claude-skills,https://github.com/BehiSecc/awesome-claude-skills,Claude Code,~9918,2026-08-02,PR (direct),"https://github.com/BehiSecc/awesome-claude-skills (README-only, no CONTRIBUTING.md; process described inline in its own Contribution section)",Utility & Automation,"linkedin (Linked-API/linkedin-skills) -- direct comparable, LinkedIn automation skill already listed",92,draft_ready,,,,,,,,,,growth-agent,"Draft at growth/aggregator-drafts/BehiSecc--awesome-claude-skills/DRAFT.md; largest audience of any target found so far, direct comparable entry already in the list proves category fit. Insert after the existing linkedin entry."
angrykoala/awesome-browser-automation,https://github.com/angrykoala/awesome-browser-automation,browser automation,~632,2026-07-28,PR (direct),https://github.com/angrykoala/awesome-browser-automation/blob/master/CONTRIBUTING.md,AI (subsection of Tools),Browser-Use; Playwright MCP; Skyvern; Steel Browser,75,draft_ready,,,,,,,,,,growth-agent,"Draft at growth/aggregator-drafts/angrykoala--awesome-browser-automation/DRAFT.md; dedicated AI/MCP subsection, real maintainer (CONTRIBUTING.md explicitly asks automated agents to include a joke in the PR message -- honored in the draft). Insert between Browser-Use and Libretto."
rohitg00/awesome-claude-code-toolkit,https://github.com/rohitg00/awesome-claude-code-toolkit,Claude Code,~2470,2026-05-12,"PR (direct, structured directories: agents/skills/plugins/mcp-configs/etc.)",https://github.com/rohitg00/awesome-claude-code-toolkit/blob/main/CONTRIBUTING.md,skills/ or mcp-configs/,135 agents; 35 skills; 14 MCP configs already catalogued,68,qualified,,,,,,,,,,growth-agent,"Qualified, no draft this run (drafting cap used by higher-priority targets) -- heavier submission overhead than a plain README list (schema'd directories per category, similar structure to jeremylongshore's marketplace). Candidate for next drafting run."
caramaschiHG/awesome-ai-agents-2026,https://github.com/caramaschiHG/awesome-ai-agents-2026,AI agents,~1548,2026-06-10,"PR (direct, markdown table format with stars badge)",https://github.com/caramaschiHG/awesome-ai-agents-2026/blob/main/CONTRIBUTING.md,"(table-based, no fixed section list confirmed yet)",(not yet checked against live table),50,qualified,,,,,,,,,,growth-agent,"Qualified, no draft this run -- legitimate CONTRIBUTING.md (not spam), but same AI-agents niche already covered by alternbits and Salesably targets; lower priority. Note: several near-identical ""-2026""-named AI agent lists exist (ARUNAGIRINATHAN-K, Zijian-Ni) from different authors with similar marketing copy -- only this one (highest stars, most substantive CONTRIBUTING.md) was tracked to avoid diluting effort across likely-overlapping audiences."
naikpratham-hub/awesome-linkedin-automation-tools,https://github.com/naikpratham-hub/awesome-linkedin-automation-tools,LinkedIn outreach,~3,2025-11-11,PR (direct),https://github.com/naikpratham-hub/awesome-linkedin-automation-tools (no CONTRIBUTING.md; instructions inline in README),LinkedIn Automation Platforms,Dux-Soup; Phantombuster; Zopto; Octopus CRM (commercial tools ebase directly competes with),35,qualified,,,,,,,,,,growth-agent,"Qualified but low priority -- 9 months stale (last push 2025-11-11) and only 3 stars, real risk PRs go unreviewed. Exact category match and lists exactly the commercial tools ebase positions against, so worth a future attempt if higher-priority targets run out."
quemsah/awesome-claude-plugins,https://github.com/quemsah/awesome-claude-plugins,Claude Code,~1139,2026-08-07,,,,,0,excluded,,,,,,,,,,growth-agent,"Not a manually curated submission list -- repo description is ""Automated collection of Claude Code plugin adoption metrics across GitHub repositories using n8n workflows,"" i.e. a bot-scraped metrics tracker, not something to PR an entry into."
Chat2AnyLLM/awesome-claude-skills,https://github.com/Chat2AnyLLM/awesome-claude-skills,Claude Code,~144,2026-08-08,,,,,0,excluded,,,,,,,,,,growth-agent,"Redundant with BehiSecc/awesome-claude-skills (same niche, ~69x fewer stars, no distinguishing comparable-entry proof found) -- tracking the higher-priority target instead rather than splitting effort across near-duplicates."
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,MCP,~91967,2026-08-03,PR (direct),https://github.com/punkpeye/awesome-mcp-servers/blob/main/CONTRIBUTING.md,Browser Automation,dozens of browser-automation MCP servers (Playwright/CDP/Selenium-based),90,submitted,,https://github.com/punkpeye/awesome-mcp-servers/pull/11744,2026-08-08,,,,,,,growth-agent,"Approved by Ruoqi 2026-08-08. Submitted via fork huangruoqi/awesome-mcp-servers-1 branch add-ebase. Largest/most active MCP list found, not a fork of appcypher's list (independent repo, both targeted). Used maintainer's documented automated-agent PR fast-track opt-in (title suffix of three robot emoji)."
appcypher/awesome-mcp-servers,https://github.com/appcypher/awesome-mcp-servers,MCP,~5700,2026-05-06,PR (direct),https://github.com/appcypher/awesome-mcp-servers/blob/main/CONTRIBUTING.md,Workflow Automation,Make; Taskade MCP,88,draft_ready,,,,,,,,,,growth-agent,"Draft at growth/aggregator-drafts/appcypher--awesome-mcp-servers/DRAFT.md; insert as first entry in Workflow Automation section, alphabetically before Make."
jeremylongshore/claude-code-plugins-plus-skills,https://github.com/jeremylongshore/claude-code-plugins-plus-skills,Claude Code,~2600,2026-07-26,issue-first (pre-submission issue required before PR),https://github.com/jeremylongshore/claude-code-plugins-plus-skills/blob/main/.github/CONTRIBUTING.md,Plugin/skill marketplace,425 plugins; 2810 skills; 200 agents already catalogued,86,draft_ready,,,,,,,,,,growth-agent,Draft at growth/aggregator-drafts/jeremylongshore--claude-code-plugins-plus-skills/DRAFT.md; draft covers pre-submission issue only. Full marketplace PR (plugin.json/SKILL.md/PRD/ADR/CI/validation) is separate larger scope requiring its own future approval.
mxschmitt/awesome-playwright,https://github.com/mxschmitt/awesome-playwright,browser automation,~1500,2026-07-17,PR (direct),https://github.com/mxschmitt/awesome-playwright/blob/main/CONTRIBUTING.md,Scraping & Automation,CloakBrowser; Human Browser; Playwright MCP,80,draft_ready,,,,,,,,,,growth-agent,Draft at growth/aggregator-drafts/mxschmitt--awesome-playwright/DRAFT.md; insert between CloakBrowser and Human Browser. Full CONTRIBUTING.md text not fetched -- verify before submitting.
piotrkulpinski/open-source-alternatives,https://github.com/piotrkulpinski/open-source-alternatives,self-hosted automation,~6500,2026-07-26,web form (openalternative.co/submit),https://openalternative.co/submit,Business/CRM/HR (no dedicated LinkedIn/recruiting category),Twenty; EspoCRM; SuiteCRM,78,draft_ready,,,,,,,,,,growth-agent,"Draft at growth/aggregator-drafts/piotrkulpinski--open-source-alternatives/DRAFT.md; submit page returned 403 to automated fetch, field list reconstructed -- verify live form before submitting. Positions ebase as alternative to Dripify/Expandi/Octopus/Linked Helper."
hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,Claude Code,~51000,rolling/active,issue-form only (PRs explicitly rejected),https://github.com/hesreallyhim/awesome-claude-code/blob/main/CONTRIBUTING.md,Skills; Providers/Runtime/Integration Infrastructure (no dedicated MCP/recruiting section),OpenWeb; SPARDA; NotebookLM MCP,75,manual_only,,,,,,,,,,growth-agent,"Largest/most authoritative Claude Code list, but maintainer explicitly requires human-written entries (not agent-generated) and cautions against treating the list as part of a promotional strategy. No automated draft prepared by design -- if pursued, a human should hand-write the issue-form submission rather than use a templated draft."
jqueryscript/awesome-claude-code,https://github.com/jqueryscript/awesome-claude-code,Claude Code,~492,2026-07-27,PR (direct),https://github.com/jqueryscript/awesome-claude-code,Tools & Utilities,star-annotated entries from dozens to 60k+ stars,65,draft_ready,,,,,,,,,,growth-agent,"Draft at growth/aggregator-drafts/jqueryscript--awesome-claude-code/DRAFT.md; risk flagged -- every entry carries a manual star count and ebase has 1 star vs neighbors in the thousands, no hard gate but real maintainer-judgment rejection risk."
brandonhimpfen/awesome-linkedin,https://github.com/brandonhimpfen/awesome-linkedin,LinkedIn outreach,~4,2026-05-05,PR (direct),https://github.com/brandonhimpfen/awesome-linkedin/blob/main/CONTRIBUTING.md,Recruitment & Talent Solutions,HireEZ; PhantomBuster LinkedIn Automations,60,draft_ready,,,,,,,,,,growth-agent,Draft at growth/aggregator-drafts/brandonhimpfen--awesome-linkedin/DRAFT.md; small/low-traffic list but exact category match. Insert between HireEZ and PhantomBuster.
alternbits/awesome-ai-agents,https://github.com/alternbits/awesome-ai-agents,AI agents,~147,2026-02-02,"PR (direct, YAML file in data/ -- README is CI-generated, do not edit directly)",https://github.com/alternbits/awesome-ai-agents/blob/main/CONTRIBUTING.md,open-source,Aider; AutoPR; BondAI; Flowise,55,submitted,,https://github.com/alternbits/awesome-ai-agents/pull/69,2026-08-08,,,,,,,growth-agent,"Approved by Ruoqi 2026-08-08. Submitted via fork huangruoqi/awesome-ai-agents-1 branch add-ebase, new data/ebase.yml entry, main_category open-source."
Salesably/awesome-ai-agents-for-sales,https://github.com/Salesably/awesome-ai-agents-for-sales,recruiting technology,~28,2026-01-16,PR (direct),https://github.com/Salesably/awesome-ai-agents-for-sales/blob/main/CONTRIBUTING.md,Outreach & Engagement; Open Source Projects,Reply.io; Lemlist; Instantly.ai; Smartlead,52,submitted,,https://github.com/Salesably/awesome-ai-agents-for-sales/pull/15,2026-07-27,,,,,,,growth-agent,"Test submission via fork huangruoqi/awesome-ai-agents-for-sales branch add-ebase. Added to Open Source Projects table (alphabetically between Deco AI Sales Assistant and GPT-Sales-Assistant), not Outreach & Engagement. No hard star-count gate in CONTRIBUTING.md (unlike aloth/awesome-ai-agents, which requires >100 stars or major org and disqualifies 1-star ebase -- see aloth row, now excluded). PR still open as of 2026-08-08 (12 days). Follow-up nudge approved by Ruoqi 2026-08-08 and posted: https://github.com/Salesably/awesome-ai-agents-for-sales/pull/15#issuecomment-5227051422."
aloth/awesome-ai-agents,https://github.com/aloth/awesome-ai-agents,AI agents,~20,2026-08-04,PR (direct),https://github.com/aloth/awesome-ai-agents/blob/main/CONTRIBUTING.md,Browser agents (under Frameworks & Libraries),Browser Use; Playwright MCP; Stagehand,0,excluded,,,,,,,,,,growth-agent,"Explicit inclusion rule requires >100 stars on the candidate repo OR major-org affiliation; ebase has 1 star (gh api repos/embeddingvc/ebase, checked live this run) and does not qualify. Revisit if/when ebase crosses that mark. (Was previously left as candidate/held-below-cap in error -- the star gate should have excluded it outright, same treatment as subinium/awesome-claude-code below.)"
subinium/awesome-claude-code,https://github.com/subinium/awesome-claude-code,Claude Code,,,,,,,0,excluded,,,,,,,,,,growth-agent,Explicit inclusion rule requires 1000+ stars on the candidate repo itself; ebase does not currently meet this threshold. Revisit if/when ebase crosses that mark.
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,MCP,,,,,,,0,excluded,,,,,,,,,,growth-agent,Official reference-implementation repo; README redirects third-party server listings to the separate MCP Registry (registry.modelcontextprotocol.io) rather than accepting README PRs.
korchasa/awesome-mcp,https://github.com/korchasa/awesome-mcp,MCP,~7,,,,,,0,excluded,,,,,,,,,,growth-agent,Bot-generated/auto-compiled list; no discoverable manual contribution process (404 on CONTRIBUTING.md).
patriksimek/awesome-mcp-servers-2,https://github.com/patriksimek/awesome-mcp-servers-2,MCP,~1,,,,,,0,excluded,,,,,,,,,,growth-agent,"Low-activity fork/derivative of appcypher/awesome-mcp-servers, already targeted directly; no distinct value."
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,self-hosted automation,,,,,,,0,excluded,,,,,,,,,,growth-agent,"Inclusion criteria explicitly exclude CLI/desktop apps relying on a separate sync/server program, and require a release at least 4 months old; ebase likely does not qualify as-is."
rahalio/awesome-recruitment,https://github.com/rahalio/awesome-recruitment,recruiting technology,0,2021 (approx),,,,,0,excluded,,,,,,,,,,growth-agent,"Abandoned -- last commit ~2021, 0 stars, author states it is not actively updated."
LLMbreaker/awesome-ai-sales-tools,https://github.com/LLMbreaker/awesome-ai-sales-tools,recruiting technology,,2025-06-21,,,,,0,excluded,,,,,,,,,,growth-agent,"Stale -- last commit over a year before this run, no CONTRIBUTING.md or contribution instructions found."
RaniaKF/awesome-talent-sourcing,https://github.com/RaniaKF/awesome-talent-sourcing,recruiting technology,~1,2021 (approx),,,,,0,excluded,,,,,,,,,,growth-agent,"Abandoned fork -- last commit 2021, no CONTRIBUTING.md."
ohsusannamarie/Awesome-Talent-Sourcing,https://github.com/ohsusannamarie/Awesome-Talent-Sourcing,recruiting technology,,2021 (approx),,,,,0,excluded,,,,,,,,,,growth-agent,Could not verify directly (404 on fetch); fork (RaniaKF) shows identical content last touched 2021 -- treat as abandoned.
CannyChiu/TechnicalTalentPartnerHub,https://github.com/CannyChiu/TechnicalTalentPartnerHub,recruiting technology,,,,,,,0,excluded,,,,,,,,,,growth-agent,"Not a tool directory -- personal curated HR/career resource list; maintainer solicits contact via LinkedIn DM only, no open submission process."
mcpservers.org,https://mcpservers.org,MCP,,,,,,,0,excluded,,,,,,,,,,growth-agent,"Not a GitHub repo (hosted directory site); WebFetch returned 403, unverifiable and out of scope for this GitHub-focused workflow."
Sjamilla/awesome-recruitment,https://github.com/Sjamilla/awesome-recruitment,recruiting technology,~532,2024-01-01,,,,,0,excluded,,,,,,,,,,growth-agent,"Abandoned -- last push 2024-01-01, over 2.5 years stale as of this run."
